"
ground_truth","0.001
","0.005
","0.01
","0.05
","0.1
","0.5
","1.0
","5.0
","10.0
","50.0
"
mascon,0.061507,0.036389,0.022287,0.004487,0.002169,0.000877,0.000569,0.000050,0.000025,0.000005
polyhedral,0.058438,0.041732,0.022997,0.003187,0.001138,0.000740,0.000629,0.000056,0.000029,0.000006
