sample,output_folder,run_id,plotting_points,seed,ground_truth,loss,batch_size,learning_rate,iterations,validation_points,validation_ground_truth,use_acceleration,validation_sampling_altitudes,encoding,activation,hidden_layers,n_neurons,model_type,omega,sample_method,sample_domain,noise,integrator,integration_points,integration_domain,Normalized L1 Loss@Altitude_0,Normalized Relative Component Loss@Altitude_0,RMSE@Altitude_0,relRMSE@Altitude_0,Normalized L1 Loss@Altitude_1,Normalized Relative Component Loss@Altitude_1,RMSE@Altitude_1,relRMSE@Altitude_1,Normalized L1 Loss@Altitude_2,Normalized Relative Component Loss@Altitude_2,RMSE@Altitude_2,relRMSE@Altitude_2,Normalized L1 Loss@Altitude_3,Normalized Relative Component Loss@Altitude_3,RMSE@Altitude_3,relRMSE@Altitude_3,Normalized L1 Loss@Altitude_4,Normalized Relative Component Loss@Altitude_4,RMSE@Altitude_4,relRMSE@Altitude_4,Normalized L1 Loss@Altitude_5,Normalized Relative Component Loss@Altitude_5,RMSE@Altitude_5,relRMSE@Altitude_5,Normalized L1 Loss@Altitude_6,Normalized Relative Component Loss@Altitude_6,RMSE@Altitude_6,relRMSE@Altitude_6,Normalized L1 Loss@Altitude_7,Normalized Relative Component Loss@Altitude_7,RMSE@Altitude_7,relRMSE@Altitude_7,Normalized L1 Loss@Altitude_8,Normalized Relative Component Loss@Altitude_8,RMSE@Altitude_8,relRMSE@Altitude_8,Normalized L1 Loss@Altitude_9,Normalized Relative Component Loss@Altitude_9,RMSE@Altitude_9,relRMSE@Altitude_9,Normalized L1 Loss@High Altitude,Normalized Relative Component Loss@High Altitude,RMSE@High Altitude,relRMSE@High Altitude,Normalized L1 Loss@Low Altitude,Normalized Relative Component Loss@Low Altitude,RMSE@Low Altitude,relRMSE@Low Altitude,pretrained_model,resolution,validation_batch_size
eros,results/polyhedral-total-eros-seed-99,26,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[3.0, 5.0]","['gaussian', 0.0, 0.093371]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",2.098649024963379,1.2906736135482788,6.514919281005859,1.331091046333313,2.0104827880859375,1.257795810699463,6.2617316246032715,1.3008437156677246,1.9629141092300415,1.2549115419387815,6.097290992736816,1.2942450046539309,1.5670974254608154,1.1829278469085691,4.9327497482299805,1.2325661182403564,1.21714448928833,1.1133875846862793,3.891197204589844,1.1752984523773191,0.2628912329673767,0.7312023043632507,0.9093682169914246,0.8306657671928406,0.0651491954922676,0.4269059896469116,0.2096280753612518,0.4518191516399383,0.001096403459087,0.0986808165907859,0.003418950131163,0.1019407138228416,0.0001544439874123,0.0509313344955444,0.0004799237649422,0.0525931715965271,1.3883679912396474e-06,0.0106168454512953,4.300774435250787e-06,0.0109559372067451,1.4467679262161257,1.163549542427063,4.699235439300537,1.2225784063339231,1.813029646873474,1.2147434949874878,5.718293190002441,1.258933424949646,None,100%,
eros,results/polyhedral-total-eros-seed-99,31,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[1.0, 3.0]","['combined', 0.0, 0.009337, [9.79917e-05, 0.0, 0.0]]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.0546361207962036,0.6466241478919983,4.276022911071777,0.8627249598503113,2.149224281311035,1.348893642425537,6.743877410888672,1.4042038917541504,0.8793798089027405,0.5630123615264893,3.6142191886901855,0.8001379370689392,0.5955384969711304,0.4513536095619201,2.4570937156677246,0.6219945549964905,0.4369838237762451,0.4046333432197571,1.6635266542434692,0.5315485596656799,0.1117770746350288,0.3110496401786804,0.3850958347320556,0.3474360406398773,0.0065076705068349,0.0397850833833217,0.0254341252148151,0.0493296086788177,3.909984297933988e-05,0.0035152002237737,0.0001227694301633,0.0036520173307508,5.5087884902604856e-06,0.0018164054490625,1.7171347280964255e-05,0.0018807498272508,4.9480956221259476e-08,0.0003783918218687,1.536701432769405e-07,0.0003914484987035,1.2077142000198364,0.9588810801506042,4.4646196365356445,1.140941858291626,0.8093056678771973,0.5583361983299255,2.972984790802002,0.6984907984733582,None,100%,
eros,results/polyhedral-total-eros-seed-99,18,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.0481887869536876,0.0300569087266922,0.4666584432125091,0.0938044711947441,0.0308796018362045,0.0196774639189243,0.114950031042099,0.0249487683176994,0.0223028976470232,0.0145314205437898,0.0813124701380729,0.0179986841976642,0.0055460459552705,0.0042772027663886,0.0187746714800596,0.0048856665380299,0.0025437390431761,0.0023778753820806,0.0084918923676013,0.0026885780971497,0.0004829081299249,0.0014322693459689,0.00166585680563,0.0016898746835067,0.0002509340993128,0.0016495982417836,0.0009245685650967,0.0020604860037565,1.5431697875101236e-06,0.0001409359974786,4.891816388408188e-06,0.0001504090469097,2.0860838390035497e-07,6.937439320608974e-05,6.490803912129195e-07,7.232589996419847e-05,1.811983230126657e-09,1.3884391592000613e-05,5.6357132294238e-09,1.4413543794944417e-05,0.005416520871222,0.0042960457503795,0.0214544851332902,0.0053698108531534,0.0236155819147825,0.0152456257492303,0.1645446568727493,0.0340540185570716,None,100%,
eros,results/polyhedral-total-eros-seed-99,29,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[3.0, 5.0]","['constant_bias', [9.79917e-05, 0.0, 0.0]]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.0418399572372437,0.6387377977371216,4.155402660369873,0.8479045033454895,2.1235005855560303,1.332419991493225,6.719339370727539,1.397754430770874,1.0146446228027344,0.6484048962593079,4.028547763824463,0.8875716328620911,0.7941427230834961,0.6010672450065613,3.1883833408355713,0.7986548542976379,0.5398138761520386,0.5030340552330017,1.9527910947799685,0.6129739880561829,0.1253634393215179,0.3510812520980835,0.4268401861190796,0.3928868472576141,0.0061056506820023,0.0369830206036567,0.0289945397526025,0.0542371235787868,2.084633337062769e-07,1.882862488855608e-05,6.730116979269951e-07,2.017165388679132e-05,2.5523597457777217e-08,8.427936336374842e-06,7.897905618392542e-08,8.674489436089061e-06,2.3104924917749512e-10,1.767423668752599e-06,7.224341125322552e-10,1.841422431425599e-06,1.2824856042861938,1.0285568237304688,4.604361057281494,1.1911011934280396,0.8819229602813721,0.6073303818702698,3.1902472972869873,0.7451346516609192,None,100%,
eros,results/polyhedral-total-eros-seed-99,34,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[1.0, 3.0]","['combined', 0.0, 0.093371, [9.79917e-05, 0.0, 0.0]]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.0745611190795898,0.6610695123672485,3.742512226104736,0.763745903968811,2.227450132369995,1.3985583782196045,6.877305030822754,1.4351376295089722,1.0395735502243042,0.6669301390647888,3.874412298202514,0.8454795479774475,0.9442558884620668,0.7174306511878967,3.8573403358459473,1.0662184953689575,0.5587257742881775,0.52323979139328,2.1625125408172607,0.6917058825492859,0.1336228251457214,0.3787271976470947,0.4456362426280975,0.4182049036026001,0.0212622117251157,0.1360355615615844,0.0699781328439712,0.1457709223031997,0.0001245546591235,0.0112194744870066,0.0003901003510691,0.0116275930777192,1.7469374142820016e-05,0.0057551213540136,5.4544063459616154e-05,0.0059684682637453,1.5581299805944584e-07,0.0011913288617506,4.840910037273716e-07,0.0012328645680099,1.1901339292526243,0.9532862305641174,4.397668838500977,1.136690378189087,0.9795739650726318,0.6752454042434692,3.457540512084961,0.8103194832801819,None,100%,
eros,results/polyhedral-total-eros-seed-99,22,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[1.0, 3.0]","['gaussian', 0.0, 0.009337]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.0839550495147705,0.6645140647888184,4.521747589111328,0.9189554452896118,2.170542001724243,1.3612234592437744,6.785513401031494,1.4122941493988037,0.8754959106445312,0.561638355255127,3.4515085220336914,0.7358938455581665,0.7479125261306763,0.5631916522979736,3.15756893157959,0.7810119390487671,0.486713171005249,0.4515961706638336,1.8639390468597412,0.583771288394928,0.1045734584331512,0.2899160385131836,0.36715167760849,0.3273647129535675,0.0061646495014429,0.0377366580069065,0.0245395433157682,0.047512449324131,4.076044569956139e-05,0.0036648397799581,0.0001281051372643,0.0038099866360425,5.738934760302072e-06,0.0018916901899501,1.7904128981172107e-05,0.0019602586980909,5.149690451844435e-08,0.0003937415604013,1.5999975744307449e-07,0.0004074942262377,1.2321267127990725,0.9775911569595336,4.514910697937012,1.1534388065338137,0.855435311794281,0.5917841792106628,3.076035261154175,0.7261430621147156,None,100%,
eros,results/polyhedral-total-eros-seed-99,23,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[3.0, 5.0]","['gaussian', 0.0, 0.009337]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.4120997190475464,0.863122820854187,5.335017204284668,1.0818389654159546,1.200328707695007,0.7533379197120667,4.153537273406982,0.8683972358703613,1.2764025926589966,0.813964307308197,4.746541976928711,1.0221176147460938,1.1489993333816528,0.8645288944244385,4.351611137390137,1.1782079935073853,0.7226600050926208,0.6690804362297058,2.5339086055755615,0.7927866578102112,0.1736977696418762,0.4858599007129669,0.6312838792800903,0.5792474746704102,0.032033797353506,0.2054604738950729,0.1051170006394386,0.2212297171354293,0.000172830739757,0.0155551629140973,0.0005398973589763,0.016093561425805,2.4389564714510925e-05,0.0080383690074086,7.593332702526823e-05,0.0083145331591367,2.1914041781201377e-07,0.0016755488468334,6.805205430282513e-07,0.0017331322887912,1.432254672050476,1.1446702480316162,4.913710117340088,1.2673799991607666,1.182689547538757,0.8138319253921509,4.0019001960754395,0.9279301762580872,None,100%,
eros,results/polyhedral-total-eros-seed-99,33,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]","['combined', 0.0, 0.093371, [9.79917e-05, 0.0, 0.0]]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.0711264908313751,0.0440355129539966,0.2638693451881408,0.0548269040882587,0.0574053302407264,0.0361366271972656,0.1983500272035598,0.0416370220482349,0.0473268926143646,0.0303738676011562,0.1611977815628051,0.0343886613845825,0.0207709148526191,0.0156397521495819,0.0711424052715301,0.0175950638949871,0.0112285641953349,0.0102079575881361,0.0388065725564956,0.0115133021026849,0.001222669146955,0.0035935812629759,0.0041411076672375,0.0041275611147284,0.0004823236959055,0.0032327785156667,0.0016654938226565,0.0037541121710091,4.517620254773647e-06,0.0004114144248887,1.4542000826622823e-05,0.0004461190546862,6.392735940607963e-07,0.0002123298181686,2.0077245608263183e-06,0.0002234706335002,5.94140203702409e-09,4.551756865112111e-05,1.8443804705725597e-08,4.7155066567938775e-05,0.0184715073555707,0.0143027147278189,0.0688478276133537,0.0168510768562555,0.044839434325695,0.0291740577667951,0.1886576563119888,0.039627619087696,None,100%,
eros,results/polyhedral-total-eros-seed-99,32,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[3.0, 5.0]","['combined', 0.0, 0.009337, [9.79917e-05, 0.0, 0.0]]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",1.244234561920166,0.7637196779251099,4.488640308380127,0.9238125681877136,1.2298797369003296,0.7688168883323669,4.4504523277282715,0.9201317429542542,1.2172200679779053,0.7770326733589172,4.556809902191162,0.9813724160194396,1.0635071992874146,0.8042246699333191,4.064734935760498,1.0839800834655762,0.682835042476654,0.6367738246917725,2.457397222518921,0.7978354096412659,0.1776575893163681,0.5022732615470886,0.5803929567337036,0.5461664795875549,0.0335238799452781,0.2137348800897598,0.1140312552452087,0.2386086136102676,0.0001798651646822,0.0161722302436828,0.0005620207521133,0.0167261753231287,2.5392058887518942e-05,0.0083707068115472,7.909131818450987e-05,0.0086619472131133,2.2839577695776825e-07,0.0017464561387896,7.092853024914803e-07,0.0018066311022266,1.6420903205871582,1.341891527175903,5.257779121398926,1.3946820497512815,1.1369357109069824,0.7827299237251282,3.925601959228515,0.924269437789917,None,100%,
eros,results/polyhedral-total-eros-seed-99,24,2500,99,mascon,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]","['gaussian', 0.0, 0.093371]",trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.0938277840614318,0.0582013428211212,0.33100426197052,0.0693260729312896,0.0834131017327308,0.0527349114418029,0.2818905413150787,0.0598702915012836,0.0752502605319023,0.0486177280545234,0.2505312263965606,0.0542619675397872,0.0399024933576583,0.0306281205266714,0.1311745345592498,0.0336759574711322,0.0221269428730011,0.0207535326480865,0.0736603736877441,0.0231532305479049,0.002912308787927,0.0085067255422472,0.0097557818517088,0.009662521071732,0.0009335348731838,0.0060758213512599,0.0031118367332965,0.0067113260738551,7.609301064803731e-06,0.000695313559845,2.3766178856021725e-05,0.0007302138837985,1.081293135030137e-06,0.0003595121088437,3.3539165542606497e-06,0.0003736818907782,9.834570491307204e-09,7.535114127676934e-05,3.0544899942697163e-08,7.810931856511161e-05,0.0372504517436027,0.0300432126969099,0.1312547922134399,0.033795740455389,0.0686125010251998,0.0456650778651237,0.2551510334014892,0.0555036701261997,None,100%,
