sample,pretrained_model,output_folder,run_id,plotting_points,seed,ground_truth,resolution,loss,batch_size,learning_rate,iterations,validation_points,validation_ground_truth,use_acceleration,validation_sampling_altitudes,encoding,activation,hidden_layers,n_neurons,model_type,omega,sample_method,sample_domain,noise,integrator,integration_points,integration_domain,Normalized L1 Loss@Altitude_0,Normalized Relative Component Loss@Altitude_0,RMSE@Altitude_0,relRMSE@Altitude_0,Normalized L1 Loss@Altitude_1,Normalized Relative Component Loss@Altitude_1,RMSE@Altitude_1,relRMSE@Altitude_1,Normalized L1 Loss@Altitude_2,Normalized Relative Component Loss@Altitude_2,RMSE@Altitude_2,relRMSE@Altitude_2,Normalized L1 Loss@Altitude_3,Normalized Relative Component Loss@Altitude_3,RMSE@Altitude_3,relRMSE@Altitude_3,Normalized L1 Loss@Altitude_4,Normalized Relative Component Loss@Altitude_4,RMSE@Altitude_4,relRMSE@Altitude_4,Normalized L1 Loss@Altitude_5,Normalized Relative Component Loss@Altitude_5,RMSE@Altitude_5,relRMSE@Altitude_5,Normalized L1 Loss@Altitude_6,Normalized Relative Component Loss@Altitude_6,RMSE@Altitude_6,relRMSE@Altitude_6,Normalized L1 Loss@Altitude_7,Normalized Relative Component Loss@Altitude_7,RMSE@Altitude_7,relRMSE@Altitude_7,Normalized L1 Loss@Altitude_8,Normalized Relative Component Loss@Altitude_8,RMSE@Altitude_8,relRMSE@Altitude_8,Normalized L1 Loss@Altitude_9,Normalized Relative Component Loss@Altitude_9,RMSE@Altitude_9,relRMSE@Altitude_9,Normalized L1 Loss@High Altitude,Normalized Relative Component Loss@High Altitude,RMSE@High Altitude,relRMSE@High Altitude,Normalized L1 Loss@Low Altitude,Normalized Relative Component Loss@Low Altitude,RMSE@Low Altitude,relRMSE@Low Altitude,validation_batch_size
churyumov-gerasimenko,None,results/pretrain-3,9,2500,2023,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3954008221626282,0.403069406747818,1.3358741998672483,0.4649057686328888,0.3820878565311432,0.395146757364273,1.277545928955078,0.4518260061740875,0.384681761264801,0.4037574529647827,1.4573355913162231,0.5175271034240723,0.2835675179958343,0.3357352018356323,0.9882641434669496,0.3965620994567871,0.1983936578035354,0.2696861624717712,0.7261766195297241,0.329448401927948,0.0240611042827367,0.0843144431710243,0.0854389891028404,0.1030430421233177,0.0070640910416841,0.0538531057536602,0.0238075647503137,0.0621501691639423,0.0001574617344886,0.0150877451524138,0.0004902672371827,0.0157494526356458,2.3528695237473585e-05,0.0080212661996483,7.31165346223861e-05,0.0083375126123428,2.1807520056427165e-07,0.0016792987007647,6.782644277336658e-07,0.0017423228127881,0.2430087625980377,0.3193243145942688,0.891220211982727,0.387530654668808,0.340218186378479,0.3766312003135681,1.2291135787963867,0.456091433763504,
churyumov-gerasimenko,None,results/pretrain-3,4,2500,42,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.4008563458919525,0.4095036685466766,1.3809618949890137,0.4785999059677124,0.3850168585777282,0.397710233926773,1.3459653854370115,0.4727999269962311,0.3739300072193146,0.3933938443660736,1.320256590843201,0.4747005999088287,0.2875281870365143,0.3403135240077972,1.0027281045913696,0.4014893770217895,0.1940855234861374,0.2641394734382629,0.714210033416748,0.3244686424732208,0.0241459645330905,0.084603801369667,0.0860640779137611,0.1037530452013015,0.007117302622646,0.0543446764349937,0.0238716788589954,0.0623606257140636,0.0001583718258189,0.0151712363585829,0.0004928603302687,0.0158312581479549,2.360258986300323e-05,0.0080455932766199,7.328070205403492e-05,0.0083546917885541,2.1993697885136498e-07,0.001693723606877,6.83996802308684e-07,0.0017571464413776,0.2430163323879242,0.3193833827972412,0.8898098468780518,0.3877222239971161,0.3389645516872406,0.3752329349517822,1.2002747058868408,0.4477253258228302,
churyumov-gerasimenko,None,results/pretrain-3,8,2500,1999,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3979208469390869,0.4065405130386352,1.3386188745498655,0.4674739241600036,0.3817500174045563,0.3942305445671081,1.2864915132522583,0.4524313509464264,0.3981102108955383,0.416810929775238,1.6237057447433472,0.5709867477416992,0.2817175090312958,0.3333487212657928,0.974517822265625,0.3910709619522095,0.1966098695993423,0.2672073245048523,0.7244107127189636,0.3284767270088196,0.0241354312747716,0.084700733423233,0.0857115760445594,0.1035522669553756,0.0071402289904654,0.0544530637562274,0.0239697117358446,0.0625857785344123,0.0001589679013704,0.0152317071333527,0.0004945779801346,0.0158893428742885,2.3544525902252644e-05,0.0080263530835509,7.311475928872824e-05,0.0083367433398962,2.1955257523131877e-07,0.001690863049589,6.826147114225023e-07,0.0017537121893838,0.2433681339025497,0.3198463320732116,0.8908200860023499,0.3880853056907654,0.3413830995559692,0.378012865781784,1.2466981410980225,0.4622774720191955,
churyumov-gerasimenko,None,results/pretrain-3,7,2500,433,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3974866867065429,0.4061619341373443,1.3520880937576294,0.4756171107292175,0.386339008808136,0.3986841738224029,1.3489711284637451,0.4728342890739441,0.3784460425376892,0.3976217806339264,1.3333454132080078,0.4782390892505646,0.2842420935630798,0.3360238075256347,0.9874772429466248,0.3954361081123352,0.1963625401258468,0.2670445144176483,0.7174685001373291,0.325619637966156,0.0240898244082927,0.0842562615871429,0.085958793759346,0.1035271435976028,0.0070638740435242,0.0538779646158218,0.0237589385360479,0.0620063133537769,0.0001587065926287,0.0152111686766147,0.0004938037018291,0.0158687829971313,2.3571617930429056e-05,0.008035578764975,7.321100565604866e-05,0.0083476984873414,2.1818061668454905e-07,0.0016801240853965,6.783692469980451e-07,0.0017426157137379,0.2423419207334518,0.3184948861598968,0.8885981440544128,0.3874297440052032,0.3396928906440735,0.3761330544948578,1.234055757522583,0.4594951570034027,
churyumov-gerasimenko,None,results/pretrain-3,2,2500,9,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3985472619533539,0.4062573611736297,1.3842217922210691,0.4780603349208832,0.3856772184371948,0.3992357850074768,1.324432611465454,0.467076689004898,0.3713509142398834,0.3908604979515075,1.2590904235839844,0.4512704312801361,0.2838694453239441,0.3357972502708435,0.9828490018844604,0.3944621980190277,0.1969395130872726,0.2675444781780243,0.7212069630622864,0.3271155953407287,0.0238790139555931,0.0837175026535987,0.0852841660380363,0.103045254945755,0.0072332359850406,0.0552195906639099,0.024162970483303,0.0630976557731628,0.000158213864779,0.0151560874655842,0.0004917390178889,0.0157934464514255,2.360921098443214e-05,0.008047692477703,7.331505912588909e-05,0.0083587300032377,2.1753531598278641e-07,0.0016751256771385,6.768238449694763e-07,0.0017386407125741,0.2433679103851318,0.3198201358318329,0.8936032056808472,0.3892791271209717,0.3399520516395569,0.3764126002788543,1.2262450456619265,0.4560852646827698,
churyumov-gerasimenko,None,results/pretrain-3,3,2500,37,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3981052041053772,0.4063717722892761,1.3375483751296997,0.4656637907028198,0.3869687020778656,0.4012305438518524,1.2975730895996094,0.4596568942070007,0.3810137510299682,0.4005755484104156,1.316142201423645,0.4702417552471161,0.2836247980594635,0.3360133767127991,0.9877611994743348,0.3968472480773926,0.1977168321609497,0.2683529853820801,0.7261630296707153,0.3288918137550354,0.0243453346192836,0.0853107124567031,0.0864844024181366,0.104345865547657,0.0072190472856163,0.0551022142171859,0.0241305753588676,0.0629878193140029,0.0001575302449055,0.0150893945246934,0.0004904387169517,0.0157521404325962,2.3448006686521697e-05,0.0079930834472179,7.283653394551948e-05,0.008304476737976,2.184180232234212e-07,0.0016819968586787,6.796222464799939e-07,0.0017458957154303,0.244168683886528,0.3210306465625763,0.8996808528900146,0.3919711410999298,0.341035395860672,0.3775244951248169,1.2237697839736938,0.4548236131668091,
churyumov-gerasimenko,None,results/pretrain-3,0,2500,3,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.394458919763565,0.4020203948020935,1.3448635339736938,0.4646534919738769,0.3876473307609558,0.4014975130558014,1.3047611713409424,0.4611327350139618,0.375322014093399,0.3943568766117096,1.3302571773529053,0.4778530299663543,0.2866043448448181,0.3393926620483398,0.9939696788787842,0.3994773030281067,0.1983569413423538,0.2693681716918945,0.7238467931747437,0.3280990719795227,0.0241436995565891,0.0845328643918037,0.0861756056547164,0.1038777381181716,0.0071886265650391,0.0548348873853683,0.0240619648247957,0.0627821758389473,0.0001586102152941,0.0151999797672033,0.0004930957220494,0.0158437229692935,2.3512397092417817e-05,0.0080151185393333,7.301064761122689e-05,0.0083243651315569,2.1796685700792298e-07,0.001678489614278,6.781432375646546e-07,0.0017420613439753,0.242952212691307,0.3193112313747406,0.8909358382225037,0.3879228830337524,0.3395448923110962,0.3759136497974396,1.22130024433136,0.4546177089214325,
churyumov-gerasimenko,None,results/pretrain-3,1,2500,7,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3923431038856506,0.4005213677883148,1.31646990776062,0.4604791402816772,0.3889243006706238,0.4024430513381958,1.316298246383667,0.4639819264411926,0.3772832155227661,0.3968975841999054,1.2924408912658691,0.4613032341003418,0.2840423882007599,0.3362497091293335,0.9865636229515076,0.3955400884151459,0.1965238898992538,0.2675001323223114,0.7266400456428528,0.3303216993808746,0.0243978556245565,0.0856581032276153,0.0864695459604263,0.1044297218322753,0.0071725505404174,0.0547283440828323,0.0240576844662427,0.0628128722310066,0.000158780516358,0.0152164520695805,0.0004937549820169,0.0158652160316705,2.3508397134719416e-05,0.0080116838216781,7.305477629415691e-05,0.0083276452496647,2.191787871197448e-07,0.0016878631431609,6.814948392275255e-07,0.0017507020384073,0.2441921532154083,0.3209935128688812,0.8989593386650085,0.390865683555603,0.3407969176769256,0.3772929310798645,1.2245030403137207,0.4553888142108917,
churyumov-gerasimenko,None,results/pretrain-3,5,2500,67,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3937108516693115,0.4021064937114715,1.3334916830062866,0.4668918251991272,0.3891749382019043,0.4029352962970733,1.3521242141723633,0.4752992987632751,0.3811245560646057,0.400023341178894,1.3802759647369385,0.4896315932273865,0.2842577397823334,0.3370472192764282,0.98369562625885,0.3953352868556976,0.196837306022644,0.2676078677177429,0.7230832576751709,0.3279608488082886,0.0233383122831583,0.0817750096321106,0.0833074301481247,0.1006025671958923,0.0071996115148067,0.0549258850514888,0.0241546779870986,0.0630983114242553,0.000157230257173,0.0150709636509418,0.0004895377205684,0.0157325062900781,2.338073682039976e-05,0.0079706506803631,7.257841934915632e-05,0.0082755675539374,2.1696941132631767e-07,0.0016707319300621,6.748097689524002e-07,0.0017334055155515,0.2441206574440002,0.3207003772258758,0.8995780348777771,0.3909149467945099,0.3418373763561249,0.378530353307724,1.2583699226379397,0.4672672748565674,
churyumov-gerasimenko,None,results/pretrain-3,6,2500,99,polyhedral,0.1%,normalized_L1_loss,1000,0.0001,10000,1000,polyhedral,True,"[0.001, 0.005, 0.01, 0.05, 0.1, 0.5, 1.0, 5.0, 10.0, 50.0]",direct_encoding,Abs,9,100,siren,30.0,spherical,"[0.0, 1.0]",[''],trapezoid,300000,"[[-1.0, 1.0], [-1.0, 1.0], [-1.0, 1.0]]",0.3972829580307007,0.4062582850456238,1.3513046503067017,0.4761394262313843,0.3816185593605041,0.3934842050075531,1.3056083917617798,0.4578290581703186,0.3764224648475647,0.3953724205493927,1.331221580505371,0.4747862517833709,0.2875058054924011,0.3398658037185669,0.993525207042694,0.397272527217865,0.196755900979042,0.2676132321357727,0.7266526222229004,0.3298815190792084,0.0241046678274869,0.0845261365175247,0.0859197527170181,0.1037366315722465,0.0070798858068883,0.0540003664791584,0.0238227471709251,0.0622440911829471,0.0001576842914801,0.0151128889992833,0.0004909106064587,0.015776352956891,2.34490362345241e-05,0.0079939002171158,7.286492473213002e-05,0.0083084469661116,2.172491520013864e-07,0.0016729282215237,6.759050847904291e-07,0.0017362659564241,0.2440007030963897,0.3206526935100555,0.8997858166694641,0.3907501101493835,0.3401750326156616,0.3766840696334839,1.235952615737915,0.4603335857391357,
